  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.522 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3015   0.01050   0.00428  -0.0588   0.9579   0.0900
  -4.500  -0.2440   0.00988   0.00375  -0.0591   0.9452   0.1152
  -4.000  -0.1885   0.00933   0.00331  -0.0588   0.9306   0.1501
  -3.500  -0.1345   0.00881   0.00293  -0.0581   0.9136   0.1961
  -3.000  -0.0808   0.00834   0.00261  -0.0574   0.8944   0.2515
  -2.500  -0.0275   0.00792   0.00236  -0.0567   0.8717   0.3166
  -2.000   0.0256   0.00749   0.00213  -0.0559   0.8470   0.3982
  -1.500   0.0776   0.00700   0.00198  -0.0550   0.8197   0.5190
  -1.000   0.1291   0.00662   0.00190  -0.0537   0.7904   0.6407
  -0.500   0.1799   0.00636   0.00189  -0.0522   0.7591   0.7495
   0.000   0.2298   0.00623   0.00194  -0.0502   0.7261   0.8435
   0.500   0.2808   0.00631   0.00204  -0.0482   0.6923   0.9173
   1.000   0.3430   0.00654   0.00214  -0.0489   0.6571   0.9605
   1.500   0.4160   0.00682   0.00225  -0.0523   0.6212   0.9835
   2.000   0.4983   0.00711   0.00236  -0.0580   0.5851   0.9952
   2.500   0.5636   0.00735   0.00245  -0.0602   0.5518   1.0000
   3.000   0.6114   0.00759   0.00256  -0.0586   0.5217   1.0000
   3.500   0.6592   0.00786   0.00271  -0.0570   0.4917   1.0000
   4.000   0.7070   0.00817   0.00291  -0.0553   0.4611   1.0000
   4.500   0.7549   0.00852   0.00315  -0.0537   0.4286   1.0000
   5.000   0.8028   0.00891   0.00343  -0.0521   0.3918   1.0000
   5.500   0.8504   0.00941   0.00378  -0.0506   0.3479   1.0000
   6.000   0.8971   0.01007   0.00422  -0.0489   0.2960   1.0000
   6.500   0.9425   0.01091   0.00480  -0.0472   0.2382   1.0000
   7.000   0.9865   0.01191   0.00552  -0.0454   0.1795   1.0000
   7.500   1.0294   0.01302   0.00635  -0.0435   0.1288   1.0000
   8.000   1.0720   0.01413   0.00728  -0.0415   0.0930   1.0000
   8.500   1.1140   0.01523   0.00828  -0.0395   0.0710   1.0000
   9.000   1.1542   0.01642   0.00940  -0.0372   0.0574   1.0000
   9.500   1.1924   0.01765   0.01064  -0.0346   0.0484   1.0000
  10.000   1.2299   0.01881   0.01186  -0.0320   0.0426   1.0000
  10.500   1.2603   0.02019   0.01332  -0.0283   0.0382   1.0000
  11.000   1.2814   0.02200   0.01518  -0.0236   0.0345   1.0000
  11.500   1.3096   0.02348   0.01682  -0.0202   0.0320   1.0000
  12.000   1.3274   0.02575   0.01916  -0.0162   0.0298   1.0000
  12.500   1.3449   0.02825   0.02184  -0.0129   0.0280   1.0000
  13.000   1.3632   0.03089   0.02461  -0.0103   0.0263   1.0000
  13.500   1.3695   0.03480   0.02863  -0.0078   0.0250   1.0000
  14.000   1.3773   0.03895   0.03300  -0.0061   0.0240   1.0000
  14.500   1.3853   0.04337   0.03763  -0.0052   0.0230   1.0000
  15.000   1.3900   0.04842   0.04285  -0.0050   0.0220   1.0000
